car_brand,car_model,mileage_per_gallon,country_of_production,order_number,year,price,car_type
Volkswagen,Arteon,10,Poland,27,2026," $36,220 ",Sedan
Volkswagen,Eos,55,Poland,82,2026," $16,840 ",Sports Car
Tesla,Model X,25,United States,54,2026," $53,890 ",SUV
Tesla,Model Y,25,United States,32,2026," $47,050 ",SUV
Tesla,Model S,40,United States,11,2026," $10,000 ",Sedan
Tesla,Cybertruck,15,United States,38,2026," $49,900 ",Pickup Truck
Tesla,Model 3,30,United States,84,2026," $26,530 ",Sedan
Tesla,Roadster,35,United States,30,2026," $52,750 ",Sports Car
Lexus,XC60,30,Singapore,106,2026," $38,500 ",SUV
Lexus,NX 350H,40,Singapore,85,2026," $41,350 ",SUV
Lexus,RX350,15,Singapore,44,2026," $33,940 ",SUV
Lexus,IS 350 F SPORT,25,Singapore,56,2026," $32,230 ",Sedan
Lexus,ES 350e,60,Singapore,95,2026," $64,720 ",Sedan
Lexus,LX 700h,15,Singapore,13,2026," $33,370 ",SUV
Lexus,RC 300,50,Singapore,65,2026," $43,630 ",Sports Car
Acura,Integra,15,Luxembourg,52,2026," $15,700 ",Sedan
Acura,TLX,20,Luxembourg,72,2026," $24,250 ",Sedan
Acura,ADX,20,Luxembourg,103,2026," $46,480 ",SUV
Acura,RDX,30,Luxembourg,104,2026," $13,990 ",SUV
Acura,MDX,10,Luxembourg,68,2026," $19,690 ",SUV
Acura,ZDX,60,Luxembourg,81,2026," $16,270 ",SUV
Acura,NSX,20,Luxembourg,101,2026," $56,740 ",Sports Car
Acura,RSX,10,Luxembourg,47,2026," $25,390 ",Sports Car
Acura,CL,45,Luxembourg,19,2026," $23,110 ",Sports Car
Volvo,EX90,55,France,75,2026," $53,320 ",SUV
Volvo,EX60,20,France,78,2026," $34,510 ",SUV
Volvo,XC90,60,France,17,2026," $58,450 ",SUV
Volvo,XC40,25,France,94,2026," $21,400 ",SUV
Volvo,V60 ,45,France,50,2026," $51,610 ",Station Wagon
Volvo,EX30,40,France,86,2026," $44,200 ",SUV
Volvo,EX40,60,France,107,2026," $35,650 ",SUV
Volvo,C30,10,France,28,2026," $35,080 ",Sedan
Volvo,S40,40,France,108,2026," $59,020 ",Sedan
Volvo,V50,40,France,53,2026," $65,860 ",Station Wagon
Mazda,CX-70,60,Sweden,59,2026," $42,490 ",SUV
Mazda,CX-90,50,Sweden,102,2026," $30,520 ",SUV
Mazda,Mazda3,40,Sweden,36,2026," $28,810 ",Sedan
Mazda,MX-5 Miata,35,Sweden,89,2026," $52,180 ",Sports Car
Mazda,MPV,20,Sweden,42,2026," $21,970 ",Minivan
Mazda,CX-5,20,Sweden,105,2026," $45,340 ",SUV
Mazda,CX-50,40,Sweden,96,2026," $48,190 ",SUV
Mazda,CX-30,50,Sweden,45,2026," $28,240 ",SUV
